gmCode,mag,depth,dist,originTime,resid_0p1,resid_0p2,resid_0p3,resid_0p4,resid_0p5,resid_1p0,resid_2p0,resid_3p0,resid_4p0,resid_5p0,resid_10p0,vs30,evid,resid_10p0_c_ci95l,resid_10p0_c,resid_10p0_c_ci95u,resid_10p0_phi_ci95l,resid_10p0_phi,resid_10p0_phi_ci95u,resid_10p0_tau_ci95l,resid_10p0_tau,resid_10p0_tau_ci95u,resid_10p0_intra,resid_10p0_inter
53,4.33,14,106.29,734424.6,-1.95548,-1.10927,-1.09889,-1.03385,-0.9542,-0.88714,-0.72109,-0.5816,-0.95277,-1.07878,-0.60593,1001,734424.6,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,-0.798586395767434,-0.346200915842609
54,4.33,14,44.5,734424.6,-1.33495,-0.89941,-0.30071,0.11671,0.22041,0.06525,-0.17849,-0.04427,0.03804,0.09249,0.31904,805,734424.6,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,0.126383604232566,-0.346200915842609
61,4.33,14,131.67,734424.6,-0.48527,0.38884,-0.34969,-0.35802,-0.30994,-0.35377,-0.54866,-0.67076,-0.74382,-0.85109,-0.67879,524,734424.6,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,-0.871446395767434,-0.346200915842609
62,4.33,14,83.03,734424.6,-1.2453,0.35675,0.10661,0.35261,0.25433,0.21757,0.33111,0.31881,0.19697,0.1011,0.22738,818,734424.6,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,0.0347236042325664,-0.346200915842609
63,4.33,14,95.14,734424.6,-0.89619,-0.62363,-0.84402,-1.05915,-0.85891,-0.75219,-1.29277,-1.43811,-1.43717,-1.30204,-1.01209,1056,734424.6,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,-1.20474639576743,-0.346200915842609
65,4.33,14,189.78,734424.6,-2.07395,-0.36006,-0.44616,-0.05592,0.00284,0.24788,-0.07844,-0.10005,-0.05513,-0.13022,-0.14602,1073,734424.6,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,-0.338676395767434,-0.346200915842609
67,4.33,14,236.39,734424.6,-0.56861,0.68762,0.74956,0.66763,0.44191,0.17593,-0.0599,-0.1667,-0.28314,-0.27756,-0.28073,726,734424.6,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,-0.473386395767434,-0.346200915842609
68,4.33,14,179.47,734424.6,-1.06231,0.5616,0.43293,0.49356,0.57,0.01207,-0.39555,-0.43743,-0.46707,-0.49296,-0.18924,865,734424.6,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,-0.381896395767434,-0.346200915842609
69,4.33,14,144.68,734424.6,-0.25808,1.15996,0.86234,0.78795,0.68694,0.20801,0.08828,-0.0088,0.04812,0.09903,0.34664,577,734424.6,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,0.153983604232566,-0.346200915842609
71,4.33,14,172.84,734424.6,-1.27165,0.24938,0.81049,0.99631,1.01083,0.94193,0.58951,0.25737,0.20603,0.23486,0.43246,781,734424.6,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,0.239803604232566,-0.346200915842609
72,4.33,14,206.08,734424.6,-0.72276,1.06114,1.11913,0.70067,0.98835,0.78403,0.68453,0.39279,0.5243,0.50696,0.49194,532,734424.6,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,0.299283604232566,-0.346200915842609
73,4.33,14,275.41,734424.6,-0.4619,1.21948,1.03188,1.25927,0.88726,0.88286,0.56197,0.27846,0.15716,0.13853,0.29033,826,734424.6,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,0.0976736042325664,-0.346200915842609
75,4.33,14,251.49,734424.6,-0.25019,1.06055,1.46845,1.06093,1.24318,1.18307,0.72259,0.65124,0.62778,0.60707,0.75364,499,734424.6,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,0.560983604232566,-0.346200915842609
77,4.33,14,229.43,734424.6,-1.17808,0.51146,0.89188,0.67614,0.64056,0.25838,-0.2055,-0.09558,-0.11129,-0.16426,-0.11622,520,734424.6,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,-0.308876395767434,-0.346200915842609
79,4.7,3,260.63,734812.3,0.74687,-0.45799,-0.63795,-0.73682,-1.03255,-0.51528,-0.52486,-0.05762,-0.13448,-0.08833,0.00473,1015,734812.3,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,-0.815579983777129,0.281452672167086
84,4.7,3,239.6,734812.3,-0.2999,-0.02228,0.08312,-0.17181,-0.43429,0.15587,0.46371,1.02267,1.20408,1.04181,0.56858,954,734812.3,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,-0.251729983777129,0.281452672167086
85,4.7,3,237.14,734812.3,-1.11632,0.04846,0.37837,0.18936,0.13581,1.1705,1.18144,1.01256,1.38425,1.38908,1.0243,1034,734812.3,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,0.203990016222871,0.281452672167086
86,4.7,3,258.91,734812.3,-0.53485,0.45316,0.49892,0.75819,1.11007,0.96721,1.12079,0.93566,1.4501,1.59254,1.15055,867,734812.3,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,0.330240016222871,0.281452672167086
87,4.7,3,295.01,734812.3,-1.08352,-0.39842,-0.15842,0.23447,0.09513,-0.03417,0.37796,0.47658,1.15425,1.32965,0.92607,1620,734812.3,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,0.105760016222871,0.281452672167086
88,4.7,3,167.2,734812.3,-0.35714,0.29853,0.59547,0.68914,0.42674,0.17197,0.3762,1.15438,1.07098,0.79555,0.3378,1141,734812.3,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,-0.482509983777129,0.281452672167086
89,4.7,3,150.54,734812.3,-1.17423,0.11136,0.39213,0.75135,0.34921,0.19889,0.49053,1.00226,1.45438,1.44424,0.90217,849,734812.3,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,0.0818600162228714,0.281452672167086
90,4.7,3,181.22,734812.3,-0.5,-0.20923,-0.62229,-0.23632,-0.03504,0.53586,1.10284,1.04822,1.49638,1.54364,1.20426,1026,734812.3,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,0.383950016222872,0.281452672167086
91,4.7,3,235,734812.3,0.46594,0.5139,0.58842,0.96998,0.62016,0.04773,0.88606,0.61923,1.11478,1.22496,1.1159,1396,734812.3,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,0.295590016222871,0.281452672167086
92,4.7,3,270.12,734812.3,-0.46056,-0.21408,-0.84151,-0.72569,-0.5362,0.13344,-0.09928,0.32166,0.78835,1.01769,0.70711,939,734812.3,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,-0.113199983777129,0.281452672167086
93,4.7,3,225.65,734812.3,-0.7603,-0.22917,0.19042,0.2791,0.74411,1.59153,1.46726,1.83614,2.05048,2.06568,1.45941,700,734812.3,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,0.639100016222871,0.281452672167086
94,4.7,3,89.09,734812.3,-1.3792,-0.58864,-0.59333,-0.67373,-0.7212,-0.2826,0.88081,1.5578,1.51759,1.32203,0.68366,969,734812.3,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,-0.136649983777129,0.281452672167086
95,4.7,3,126.22,734812.3,-1.09181,-0.6237,-0.59987,-0.99785,-0.94952,-0.50516,-0.14175,0.33183,0.89321,1.02199,0.67,1153,734812.3,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,-0.150309983777129,0.281452672167086
96,4.7,3,170.04,734812.3,-0.2468,0.05333,-0.77809,-0.7242,-0.68828,-0.57535,-0.15896,0.45866,0.69988,0.90735,0.6743,1541,734812.3,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,-0.146009983777129,0.281452672167086
97,4.7,3,229.37,734812.3,0.1672,0.82805,0.37407,0.06081,-0.42447,-0.52733,0.12124,0.17959,0.06579,0.11486,0.26548,670,734812.3,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,-0.554829983777129,0.281452672167086
98,4.7,3,72.53,734812.3,-1.59349,-0.87861,-1.18294,-1.25976,-1.2579,-0.80637,0.0374,0.38685,0.37819,0.18191,-0.00519,914,734812.3,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,-0.825499983777129,0.281452672167086
100,4.7,3,209.35,734812.3,-0.72352,0.22735,0.65367,0.32503,0.0691,0.17659,0.14936,0.2785,0.11271,0.05881,0.15848,455,734812.3,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,-0.661829983777129,0.281452672167086
101,4.7,3,277.26,734812.3,-1.17055,-0.32953,-0.0125,-0.13629,-0.37964,0.02043,0.12065,0.41635,0.15275,0.33989,0.1647,211,734812.3,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,-0.655609983777129,0.281452672167086
102,4.7,3,49.08,734812.3,-2.09406,-1.03369,-0.40577,-0.43503,0.02791,0.58406,0.7421,1.56028,1.88526,1.80029,1.36888,521,734812.3,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,0.548570016222871,0.281452672167086
103,4.7,3,64.35,734812.3,-1.79741,-1.13998,-0.65785,-0.39442,-0.67882,0.43162,0.79112,1.86393,1.99751,1.87178,1.26547,985,734812.3,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,0.445160016222871,0.281452672167086
104,4.7,3,124.55,734812.3,-1.06659,0.3741,1.3088,0.78283,0.43247,0.63345,0.7708,1.6623,1.95222,1.93442,1.45445,1321,734812.3,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,0.634140016222871,0.281452672167086
105,4.7,3,205.44,734812.3,-1.01143,-0.27435,0.39055,0.88266,0.42216,1.20581,1.58251,1.35813,1.28494,1.4824,1.37596,1120,734812.3,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,0.555650016222871,0.281452672167086
106,4.7,3,267.41,734812.3,-2.16871,-0.76405,-0.80476,-0.51462,-0.77813,-0.28916,0.35434,0.46152,0.91184,1.12616,0.92535,512,734812.3,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,0.105040016222871,0.281452672167086
107,4.7,3,210.43,734812.3,-1.89237,-0.6685,-0.82975,-0.26153,-0.35781,-0.28931,-0.51679,-0.51843,-0.2677,-0.49739,0.02651,1859,734812.3,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,-0.793799983777129,0.281452672167086
108,4.7,3,149.01,734812.3,-1.8166,-0.50626,-0.18367,0.1467,0.16245,0.53843,0.89304,2.33731,2.71551,2.44217,1.65846,818,734812.3,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,0.838150016222871,0.281452672167086
109,4.7,3,132.44,734812.3,-1.39839,-0.72407,-0.68299,-0.3852,-0.68018,-0.50065,-0.50134,-0.46037,0.10326,0.65372,0.50056,1056,734812.3,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,-0.319749983777129,0.281452672167086
110,4.7,3,115.52,734812.3,-1.68951,-0.74393,-0.43209,-0.42584,-0.78809,-0.34202,0.07672,0.88234,1.18998,1.10608,0.51848,772,734812.3,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,-0.301829983777129,0.281452672167086
111,4.7,3,162.73,734812.3,-2.33821,-1.06715,-0.64935,-0.08977,-0.27295,-0.10818,0.64711,1.30356,1.74829,1.9808,1.61677,1073,734812.3,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,0.796460016222871,0.281452672167086
112,4.7,3,197.34,734812.3,-2.05005,-1.28041,-0.38877,-0.24653,-0.03705,0.38285,1.37351,1.11181,1.76111,1.94733,1.55264,1202,734812.3,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,0.732330016222871,0.281452672167086
113,4.7,3,263.08,734812.3,-2.77933,-1.49113,-1.27616,-1.0904,-0.93876,-0.31418,0.40561,1.03148,1.25834,1.41239,1.33958,756,734812.3,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,0.519270016222871,0.281452672167086
114,4.7,3,187.47,734812.3,-2.3325,-1.08549,-0.29882,-0.00302,0.05667,0.47075,0.05721,0.04486,0.05728,0.77852,1.15531,812,734812.3,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,0.335000016222871,0.281452672167086
115,4.7,3,189.45,734812.3,-2.0366,-0.91539,-0.29231,-0.01742,0.13845,0.4365,0.36847,0.0479,0.1448,0.04939,0.40772,781,734812.3,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,-0.412589983777129,0.281452672167086
116,4.7,3,202.38,734812.3,-1.50174,-0.22219,0.12297,0.09099,0.18174,0.95582,1.42819,1.45329,1.77911,1.78835,1.18063,532,734812.3,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,0.360320016222871,0.281452672167086
117,4.7,3,256.14,734812.3,-1.18183,0.05113,0.53163,1.27338,1.2138,0.68539,0.86494,0.82873,1.00219,1.15789,0.83955,826,734812.3,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,0.0192400162228714,0.281452672167086
118,4.7,3,299.15,734812.3,-1.05792,0.24095,0.51687,0.71364,0.52867,0.80093,0.94033,1.1025,1.68097,1.80399,1.53051,822,734812.3,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,0.710200016222871,0.281452672167086
119,4.7,3,256.71,734812.3,-2.14315,-0.42483,0.08981,0.1475,-0.12026,0.00376,0.3807,0.3957,0.31689,0.56185,0.42114,520,734812.3,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,-0.399169983777129,0.281452672167086
120,4.7,3,281.45,734812.3,-2.23728,-0.96848,-0.74507,-0.3947,-0.65433,-0.02911,1.06541,1.6843,1.35338,0.91942,0.95934,427,734812.3,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,0.139030016222871,0.281452672167086
121,5.7,8,299.41,734813.2,-2.34928,-1.87175,-1.47184,-0.9578,-0.96044,-0.52254,0.18987,0.30539,0.53846,0.46405,0.48083,407,734813.2,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,0.269444742005308,-0.32747205361535
122,5.7,8,266.08,734813.2,0.17791,-0.23054,-0.58881,-0.89654,-0.87427,-0.71455,-1.93678,-1.33245,-0.36977,0.12265,0.31313,1015,734813.2,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,0.101744742005308,-0.32747205361535
124,5.7,8,41.17,734813.2,-1.07584,-1.12884,-1.38487,-1.07161,-0.99894,0.28203,-0.13973,0.79541,0.83802,0.73182,0.18227,725,734813.2,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,-0.0291152579946922,-0.32747205361535
125,5.7,8,42.6,734813.2,-1.64563,-0.84518,-0.86554,-0.71641,-1.05711,-0.20324,0.42067,0.97691,1.40142,1.35237,0.68562,591,734813.2,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,0.474234742005308,-0.32747205361535
127,5.7,8,242.38,734813.2,-0.46293,0.44377,-0.40234,-0.29936,-0.42214,-0.3856,-0.64377,-0.21275,-0.69156,-0.16629,0.02537,954,734813.2,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,-0.186015257994692,-0.32747205361535
128,5.7,8,241.22,734813.2,-1.39349,-0.03203,-0.0651,-0.55801,-0.49206,-0.78888,-1.46102,-1.52542,-0.78541,-0.82908,-0.7803,1034,734813.2,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,-0.991685257994692,-0.32747205361535
129,5.7,8,263.82,734813.2,-0.89581,0.13028,-0.05051,0.15405,0.33775,-0.7236,-1.38442,-1.06602,-0.35202,0.11816,-0.00915,867,734813.2,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,-0.220535257994692,-0.32747205361535
130,5.7,8,275.83,734813.2,-0.60804,-0.75527,-0.72501,-0.55755,-0.43869,-0.85181,-1.51722,-0.92659,-0.15854,0.38939,0.44335,939,734813.2,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,0.231964742005308,-0.32747205361535
131,5.7,8,92.68,734813.2,-1.31149,-1.21134,-0.59034,-0.85927,-1.36659,-1.72866,-1.8966,-0.82637,-0.48987,-0.59835,-0.80061,969,734813.2,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,-1.01199525799469,-0.32747205361535
132,5.7,8,282.27,734813.2,-1.48099,-0.31734,-0.43776,-0.58201,-0.42242,-1.01095,-1.81301,-1.18234,-0.34736,0.03243,-0.10048,211,734813.2,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,-0.311865257994692,-0.32747205361535
133,5.7,8,271.55,734813.2,-2.27334,-1.58602,-1.7519,-1.55438,-1.21275,-1.70376,-1.82838,-1.24609,-0.65495,-0.31059,-0.48276,512,734813.2,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,-0.694145257994692,-0.32747205361535
134,5.7,8,205.06,734813.2,-1.57746,-0.91232,-0.46609,0.06473,0.37083,0.03551,-0.38328,-0.35326,-0.0357,0.28252,0.01643,1859,734813.2,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,-0.194955257994692,-0.32747205361535
135,5.7,8,128.59,734813.2,-1.35713,-0.89801,-1.11297,-1.0975,-1.0475,-1.05604,-1.39217,-0.62707,-0.08587,-0.0449,-0.60677,1056,734813.2,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,-0.818155257994692,-0.32747205361535
136,5.7,8,164.15,734813.2,-2.10496,-1.0915,-1.00836,-1.18556,-1.35511,-0.50421,-0.77346,-0.72657,0.42481,1.08926,1.04237,1073,734813.2,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,0.830984742005308,-0.32747205361535
137,5.7,8,199.8,734813.2,-2.0929,-1.15177,-1.51518,-1.27889,-0.96702,-0.65347,-0.40529,0.12812,-0.04036,0.2585,0.3247,1202,734813.2,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,0.113314742005308,-0.32747205361535
138,5.7,8,265.85,734813.2,-2.705,-1.52373,-2.06111,-2.07633,-2.15815,-1.71472,-1.68467,-1.30546,-0.86651,-0.75079,-0.29375,756,734813.2,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,-0.505135257994692,-0.32747205361535
