gmCode,mag,depth,dist,originTime,resid_0p1,resid_0p2,resid_0p3,resid_0p4,resid_0p5,resid_1p0,resid_2p0,resid_3p0,resid_4p0,resid_5p0,resid_10p0,vs30,evid,resid_10p0_c_ci95l,resid_10p0_c,resid_10p0_c_ci95u,resid_10p0_phi_ci95l,resid_10p0_phi,resid_10p0_phi_ci95u,resid_10p0_tau_ci95l,resid_10p0_tau,resid_10p0_tau_ci95u,resid_10p0_intra,resid_10p0_inter
31,4.33,14,203.24,734424.6,-0.79444,0.20459,0.09043,0.01418,-0.38014,-0.18624,-0.38954,-0.80123,-0.60333,-0.66242,-0.68231,1141,734424.6,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,-0.874966395767434,-0.346200915842609
32,4.33,14,204.18,734424.6,-0.45954,1.21772,1.7334,1.99269,1.7467,1.08156,1.04595,1.11326,1.15709,1.18565,1.30343,849,734424.6,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,1.11077360423257,-0.346200915842609
34,4.33,14,263.67,734424.6,-0.89684,-0.43924,0.14201,0.54679,0.73622,1.18839,1.05395,0.70405,0.8791,0.95501,0.88555,299,734424.6,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,0.692893604232566,-0.346200915842609
35,4.33,14,201.51,734424.6,-0.15018,-0.09908,0.00169,0.31073,0.28229,0.11341,0.54621,0.19402,0.22433,0.21622,0.24597,700,734424.6,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,0.0533136042325664,-0.346200915842609
38,4.33,14,140.85,734424.6,-0.53107,1.00215,0.91833,0.9364,0.92111,0.29585,0.22716,-0.00166,-0.08197,-0.1118,0.04921,969,734424.6,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,-0.143446395767434,-0.346200915842609
39,4.33,14,194.85,734424.6,-1.15457,0.25332,0.3434,0.41595,0.38483,0.22777,-0.15264,-0.06901,-0.08763,-0.10511,-0.09471,1153,734424.6,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,-0.287366395767434,-0.346200915842609
43,4.33,14,167.79,734424.6,-0.92272,-0.38705,0.1909,0.7145,0.97576,0.83855,0.60602,0.48829,0.43531,0.45783,0.6215,662,734424.6,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,0.428843604232566,-0.346200915842609
44,4.33,14,112.92,734424.6,-0.3335,0.12647,0.2328,-0.20275,-0.3362,-0.56693,-0.73561,-0.42626,-0.66909,-0.72898,-0.34087,907,734424.6,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,-0.533526395767434,-0.346200915842609
46,4.33,14,77,734424.6,-0.59632,0.42489,0.51957,0.47403,0.40788,0.20412,0.11006,0.23083,0.30919,0.35812,0.55372,598,734424.6,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,0.361063604232566,-0.346200915842609
47,4.33,14,140.51,734424.6,-0.21407,0.44192,0.50231,0.89599,0.63567,0.53245,-0.05471,-0.19812,-0.11386,-0.04979,0.08724,914,734424.6,0.38208695550571,0.538857311610042,0.695627667714374,0.956307322613173,1.01491281053675,1.07710982508942,0.286824568389153,0.406072319176892,0.574897503821836,-0.105416395767434,-0.346200915842609
