gmcode,mag,depth,dist,originTime,resid_0p1,resid_0p2,resid_0p3,resid_0p4,resid_0p5,resid_1p0,resid_2p0,resid_3p0,resid_4p0,resid_5p0,resid_10p0,vs30,evid,resid_10p0_c_ci95l,resid_10p0_c,resid_10p0_c_ci95u,resid_10p0_phi_ci95l,resid_10p0_phi,resid_10p0_phi_ci95u,resid_10p0_tau_ci95l,resid_10p0_tau,resid_10p0_tau_ci95u,resid_10p0_intra,resid_10p0_inter
31,4.33,14,203.24,734424.587836,2.8983,2.72278,2.19462,1.8754,1.35749,1.39616,1.11479,0.65336,0.77857,0.68843,0.58102,1141,734424.587836,1.14873810312094,1.31363236096049,1.47852661880004,0.947935161057135,1.00621939172302,1.06808725519828,0.326070855234424,0.447418495559002,0.613925798502788,-0.66980169735564,-0.0628106636048465
32,4.33,14,204.18,734424.587836,3.24034,3.74253,3.84313,3.85835,3.48806,2.66655,2.55223,2.56993,2.54102,2.53856,2.56868,849,734424.587836,1.14873810312094,1.31363236096049,1.47852661880004,0.947935161057135,1.00621939172302,1.06808725519828,0.326070855234424,0.447418495559002,0.613925798502788,1.31785830264436,-0.0628106636048465
34,4.33,14,263.67,734424.587836,3.21104,2.47206,2.57387,2.66935,2.69264,2.92008,2.6689,2.27891,2.37742,2.42436,2.25813,299,734424.587836,1.14873810312094,1.31363236096049,1.47852661880004,0.947935161057135,1.00621939172302,1.06808725519828,0.326070855234424,0.447418495559002,0.613925798502788,1.00730830264436,-0.0628106636048465
35,4.33,14,201.51,734424.587836,3.52928,2.40683,2.09561,2.16372,2.01299,1.691,2.04691,1.64474,1.60244,1.56325,1.50572,700,734424.587836,1.14873810312094,1.31363236096049,1.47852661880004,0.947935161057135,1.00621939172302,1.06808725519828,0.326070855234424,0.447418495559002,0.613925798502788,0.25489830264436,-0.0628106636048465
38,4.33,14,140.85,734424.587836,2.68413,3.06972,2.642,2.48727,2.39157,1.6844,1.5386,1.27586,1.13993,1.07833,1.15985,969,734424.587836,1.14873810312094,1.31363236096049,1.47852661880004,0.947935161057135,1.00621939172302,1.06808725519828,0.326070855234424,0.447418495559002,0.613925798502788,-0.0909716973556398,-0.0628106636048465
39,4.33,14,194.85,734424.587836,2.48351,2.71989,2.40482,2.24288,2.09485,1.79372,1.33332,1.3694,1.2798,1.23135,1.15494,1153,734424.587836,1.14873810312094,1.31363236096049,1.47852661880004,0.947935161057135,1.00621939172302,1.06808725519828,0.326070855234424,0.447418495559002,0.613925798502788,-0.0958816973556398,-0.0628106636048465
43,4.33,14,167.79,734424.587836,2.51074,1.88692,2.08988,2.40698,2.57209,2.3276,2.00371,1.84929,1.73278,1.72461,1.80448,662,734424.587836,1.14873810312094,1.31363236096049,1.47852661880004,0.947935161057135,1.00621939172302,1.06808725519828,0.326070855234424,0.447418495559002,0.613925798502788,0.55365830264436,-0.0628106636048465
44,4.33,14,112.92,734424.587836,2.61092,1.93162,1.73291,1.14601,0.95352,0.65793,0.45225,0.73576,0.43768,0.34588,0.65859,907,734424.587836,1.14873810312094,1.31363236096049,1.47852661880004,0.947935161057135,1.00621939172302,1.06808725519828,0.326070855234424,0.447418495559002,0.613925798502788,-0.59223169735564,-0.0628106636048465
46,4.33,14,77,734424.587836,1.90122,1.79885,1.63386,1.47651,1.36725,1.14039,1.03062,1.13527,1.15449,1.17386,1.29177,598,734424.587836,1.14873810312094,1.31363236096049,1.47852661880004,0.947935161057135,1.00621939172302,1.06808725519828,0.326070855234424,0.447418495559002,0.613925798502788,0.0409483026443602,-0.0628106636048465
47,4.33,14,140.51,734424.587836,2.99793,2.50646,2.22334,2.44469,2.10413,1.91916,1.25528,1.07792,1.10668,1.13896,1.19652,914,734424.587836,1.14873810312094,1.31363236096049,1.47852661880004,0.947935161057135,1.00621939172302,1.06808725519828,0.326070855234424,0.447418495559002,0.613925798502788,-0.0543016973556398,-0.0628106636048465
