gmCode,mag,depth,dist,originTime,resid_0p1,resid_0p2,resid_0p3,resid_0p4,resid_0p5,resid_1p0,resid_2p0,resid_3p0,resid_4p0,resid_5p0,resid_10p0,vs30,evid,resid_10p0_c_ci95l,resid_10p0_c,resid_10p0_c_ci95u,resid_10p0 _phi_ci95l,resid_10p0 _phi,resid_10p0 _phi_ci95u,resid_10p0 _tau_ci95l,resid_10p0 _tau,resid_10p0 _tau_ci95u,resid_10p0 _intra,resid_10p0 _inter
31,4.33,14,203.24,734424.6,-0.19489,0.52631,0.31993,0.19725,-0.22601,-0.09477,-0.32891,-0.74856,-0.55326,-0.61305,-0.63196,1141,734424.6,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.880268980475024,-0.360235957276753
32,4.33,14,204.18,734424.6,0.1399,1.53935,1.96283,2.17569,1.90075,1.17296,1.10652,1.16585,1.20707,1.23492,1.35366,849,734424.6,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,1.10535101952498,-0.360235957276753
34,4.33,14,263.67,734424.6,-0.30598,-0.12396,0.36603,0.7247,0.88536,1.2755,1.11013,0.75127,0.92299,0.99782,0.92834,299,734424.6,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.680031019524976,-0.360235957276753
35,4.33,14,201.51,734424.6,0.44959,0.2228,0.23133,0.49394,0.43655,0.20499,0.60697,0.24685,0.27457,0.26578,0.29653,700,734424.6,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.0482210195249759,-0.360235957276753
38,4.33,14,140.85,734424.6,0.0782,1.33137,1.15419,1.12496,1.08031,0.39207,0.29356,0.0583,-0.02379,-0.05376,0.10942,969,734424.6,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.138888980475024,-0.360235957276753
39,4.33,14,194.85,734424.6,-0.55368,0.57603,0.57375,0.59976,0.53965,0.31988,-0.09128,-0.01543,-0.03652,-0.05465,-0.04311,1153,734424.6,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.291418980475024,-0.360235957276753
43,4.33,14,167.79,734424.6,-0.31756,-0.06112,0.42399,0.90063,1.13275,0.93274,0.66986,0.54499,0.4899,0.51197,0.67734,662,734424.6,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.429031019524976,-0.360235957276753
44,4.33,14,112.92,734424.6,0.28015,0.45906,0.47154,-0.01168,-0.17463,-0.46854,-0.6662,-0.36256,-0.60661,-0.66646,-0.27551,907,734424.6,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.523818980475024,-0.360235957276753
46,4.33,14,77,734424.6,0.02359,0.76208,0.76204,0.66841,0.57246,0.30545,0.18388,0.30009,0.37784,0.42711,0.62642,598,734424.6,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.378111019524976,-0.360235957276753
47,4.33,14,140.51,734424.6,0.39525,0.77118,0.73821,1.08459,0.79489,0.6287,0.01172,-0.13812,-0.05563,0.0083,0.1475,914,734424.6,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.100808980475024,-0.360235957276753
53,4.33,14,106.29,734424.6,-1.34077,-0.77591,-0.85949,-0.84221,-0.79208,-0.78825,-0.65093,-0.51697,-0.88926,-1.01517,-0.53931,1001,734424.6,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.787618980475024,-0.360235957276753
54,4.33,14,44.5,734424.6,-0.70903,-0.55737,-0.05388,0.31534,0.38895,0.1707,-0.09908,0.03177,0.11408,0.16938,0.4007,805,734424.6,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.152391019524976,-0.360235957276753
