gmCode,mag,depth,dist,originTime,resid_0p1,resid_0p2,resid_0p3,resid_0p4,resid_0p5,resid_1p0,resid_2p0,resid_3p0,resid_4p0,resid_5p0,resid_10p0,vs30,evid,resid_10p0_c_ci95l,resid_10p0_c,resid_10p0_c_ci95u,resid_10p0 _phi_ci95l,resid_10p0 _phi,resid_10p0 _phi_ci95u,resid_10p0 _tau_ci95l,resid_10p0 _tau,resid_10p0 _tau_ci95u,resid_10p0 _intra,resid_10p0 _inter
61,4.33,14,131.67,734424.6,0.12546,0.71923,-0.11284,-0.16858,-0.14996,-0.25681,-0.48133,-0.60965,-0.68425,-0.79163,-0.61695,524,734424.6,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.865258980475024,-0.360235957276753
62,4.33,14,83.03,734424.6,-0.62621,0.693,0.34829,0.54642,0.41832,0.31839,0.40413,0.38704,0.26445,0.1689,0.29867,818,734424.6,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.0503610195249758,-0.360235957276753
63,4.33,14,95.14,734424.6,-0.27936,-0.28892,-0.60356,-0.86648,-0.69591,-0.65239,-1.22127,-1.37178,-1.37178,-1.23645,-0.94327,1056,734424.6,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-1.19157898047502,-0.360235957276753
65,4.33,14,189.78,734424.6,-1.47221,-0.03673,-0.21528,0.12832,0.15808,0.3404,-0.01662,-0.04588,-0.00336,-0.07907,-0.09361,1073,734424.6,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.341918980475024,-0.360235957276753
67,4.33,14,236.39,734424.6,0.02624,1.00583,0.976,0.84783,0.59328,0.26496,-0.00181,-0.11717,-0.23661,-0.23195,-0.23471,726,734424.6,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.483018980475024,-0.360235957276753
68,4.33,14,179.47,734424.6,-0.45908,0.88605,0.66477,0.67863,0.72601,0.10534,-0.33284,-0.38215,-0.41405,-0.4405,-0.13531,865,734424.6,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.383618980475024,-0.360235957276753
69,4.33,14,144.68,734424.6,0.35056,1.48867,1.09778,0.97614,0.8458,0.30393,0.15429,0.05066,0.10575,0.15648,0.40618,577,734424.6,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.157871019524976,-0.360235957276753
71,4.33,14,172.84,734424.6,-0.66743,0.57459,1.04299,1.18193,1.16736,1.03569,0.65282,0.31339,0.25988,0.28821,0.4874,781,734424.6,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.239091019524976,-0.360235957276753
72,4.33,14,206.08,734424.6,-0.12356,1.38258,1.34839,0.88352,1.14226,0.8753,0.74496,0.44521,0.57408,0.55603,0.54194,532,734424.6,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.293631019524976,-0.360235957276753
73,4.33,14,275.41,734424.6,0.12703,1.53338,1.25483,1.43621,1.03545,0.96916,0.61736,0.32477,0.19998,0.1802,0.3318,826,734424.6,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.0834910195249758,-0.360235957276753
75,4.33,14,251.49,734424.6,0.34233,1.37707,1.69343,1.23975,1.39321,1.27095,0.77951,0.69934,0.6727,0.65096,0.79769,499,734424.6,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.549381019524976,-0.360235957276753
77,4.33,14,229.43,734424.6,-0.58231,0.83037,1.11893,0.85693,0.79249,0.3479,-0.14691,-0.04543,-0.06406,-0.1179,-0.06934,520,734424.6,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.317648980475024,-0.360235957276753
79,4.7,3,260.63,734812.3,1.33315,-0.14694,-0.41706,-0.56117,-0.88515,-0.42959,-0.47097,-0.01298,-0.09335,-0.0484,0.04427,1015,734812.3,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.828442250183529,0.264167312431753
84,4.7,3,239.6,734812.3,0.28958,0.29108,0.30592,0.00561,-0.28516,0.24291,0.51885,1.06884,1.24697,1.0836,0.61025,954,734812.3,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.262462250183529,0.264167312431753
85,4.7,3,237.14,734812.3,-0.52647,0.36209,0.6014,0.36701,0.28516,1.2577,1.23674,1.05892,1.42736,1.43111,1.06624,1034,734812.3,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.193527749816471,0.264167312431753
86,4.7,3,258.91,734812.3,0.05168,0.7644,0.71996,0.93396,1.2576,1.053,1.17477,0.9804,1.49136,1.6326,1.19025,867,734812.3,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.317537749816471,0.264167312431753
87,4.7,3,295.01,734812.3,-0.50268,-0.09125,0.05954,0.40743,0.23991,0.04945,0.43006,0.51909,1.19284,1.36691,0.96252,1620,734812.3,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.0898077498164707,0.264167312431753
88,4.7,3,167.2,734812.3,0.2435,0.62008,0.82537,0.87286,0.58177,0.26373,0.43638,1.20695,1.12108,0.84496,0.38808,1141,734812.3,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.484632250183529,0.264167312431753
89,4.7,3,150.54,734812.3,-0.57109,0.43486,0.62371,0.93651,0.50552,0.29168,0.55194,1.05646,1.50629,1.49559,0.9546,849,734812.3,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.0818877498164706,0.264167312431753
90,4.7,3,181.22,734812.3,0.09833,0.11058,-0.39388,-0.05385,0.11887,0.62671,1.16193,1.09939,1.54491,1.59139,1.25267,1026,734812.3,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.379957749816471,0.264167312431753
91,4.7,3,235,734812.3,1.05609,0.82775,0.81165,1.14782,0.76969,0.13506,0.94149,0.66577,1.15808,1.26719,1.15806,1396,734812.3,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.285347749816471,0.264167312431753
92,4.7,3,270.12,734812.3,0.12419,0.09588,-0.62146,-0.55082,-0.38955,0.21854,-0.04591,0.36568,0.82874,1.05685,0.74575,939,734812.3,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.126962250183529,0.264167312431753
93,4.7,3,225.65,734812.3,-0.16891,0.08559,0.41445,0.4577,0.89439,1.67945,1.52325,1.88339,2.09458,2.10876,1.50253,700,734812.3,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.629817749816471,0.264167312431753
94,4.7,3,89.09,734812.3,-0.7654,-0.25753,-0.35557,-0.48312,-0.56014,-0.18603,0.94765,1.619,1.5773,1.38154,0.74529,969,734812.3,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.127422250183529,0.264167312431753
95,4.7,3,126.22,734812.3,-0.4847,-0.29708,-0.36567,-0.81044,-0.79123,-0.41083,-0.07835,0.38864,0.94808,1.07646,0.72592,1153,734812.3,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.146792250183529,0.264167312431753
96,4.7,3,170.04,734812.3,0.35332,0.37448,-0.54851,-0.54076,-0.53349,-0.48378,-0.09902,0.51093,0.74964,0.9564,0.72417,1541,734812.3,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.148542250183529,0.264167312431753
97,4.7,3,229.37,734812.3,0.75812,1.14246,0.59779,0.23912,-0.27448,-0.43964,0.17702,0.22656,0.10958,0.15761,0.30823,670,734812.3,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.564482250183529,0.264167312431753
98,4.7,3,72.53,734812.3,-0.9771,-0.54508,-0.94323,-1.06766,-1.09547,-0.70878,0.10595,0.45024,0.44031,0.24395,0.05938,914,734812.3,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.813332250183529,0.264167312431753
100,4.7,3,209.35,734812.3,-0.12952,0.54399,0.87933,0.50513,0.22081,0.26563,0.20647,0.32715,0.15839,0.10356,0.20349,455,734812.3,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.669222250183529,0.264167312431753
101,4.7,3,277.26,734812.3,-0.58699,-0.0204,0.20692,0.038,-0.23356,0.10509,0.17364,0.4599,0.19259,0.37847,0.20268,211,734812.3,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.670032250183529,0.264167312431753
102,4.7,3,49.08,734812.3,-1.47336,-0.69703,-0.16323,-0.24019,0.19274,0.68375,0.81378,1.6275,1.9515,1.86657,1.4384,521,734812.3,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.565687749816471,0.264167312431753
103,4.7,3,64.35,734812.3,-1.17969,-0.80539,-0.4172,-0.20155,-0.5157,0.52971,0.86056,1.92845,2.06088,1.93509,1.33157,985,734812.3,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.458857749816471,0.264167312431753
104,4.7,3,124.55,734812.3,-0.45921,0.70092,1.54317,0.97038,0.59089,0.72788,0.83435,1.7193,2.0073,1.98911,1.51063,1321,734812.3,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.637917749816471,0.264167312431753
105,4.7,3,205.44,734812.3,-0.41689,0.04269,0.61655,1.06308,0.57418,1.29509,1.63987,1.40709,1.33097,1.52752,1.42139,1120,734812.3,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.548677749816471,0.264167312431753
106,4.7,3,267.41,734812.3,-1.5835,-0.45376,-0.58445,-0.33953,-0.63126,-0.20389,0.40787,0.50572,0.95245,1.16553,0.96426,512,734812.3,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.0915477498164706,0.264167312431753
107,4.7,3,210.43,734812.3,-1.29851,-0.35197,-0.60419,-0.08152,-0.20618,-0.20034,-0.45975,-0.46987,-0.22212,-0.45274,0.0714,1859,734812.3,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.801312250183529,0.264167312431753
108,4.7,3,149.01,734812.3,-1.21321,-0.18256,0.04807,0.332,0.31888,0.63132,0.95457,2.39166,2.76759,2.49371,1.7111,818,734812.3,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.838387749816471,0.264167312431753
109,4.7,3,132.44,734812.3,-0.79225,-0.3982,-0.44942,-0.19831,-0.52238,-0.40669,-0.43848,-0.40424,0.15734,0.70738,0.55555,1056,734812.3,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.317162250183529,0.264167312431753
110,4.7,3,115.52,734812.3,-1.08074,-0.41604,-0.19683,-0.23755,-0.62896,-0.24706,0.14107,0.94035,1.2462,1.16196,0.57604,772,734812.3,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.296672250183529,0.264167312431753
111,4.7,3,162.73,734812.3,-1.73682,-0.74503,-0.41896,0.09437,-0.11755,-0.01612,0.70764,1.3566,1.79891,2.03077,1.66767,1073,734812.3,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.794957749816471,0.264167312431753
112,4.7,3,197.34,734812.3,-1.45432,-0.9625,-0.162,-0.06543,0.11561,0.47265,1.4314,1.16145,1.80792,1.99327,1.599,1202,734812.3,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.726287749816471,0.264167312431753
113,4.7,3,263.08,734812.3,-2.19343,-1.18034,-1.05547,-0.91495,-0.79154,-0.22864,0.45937,1.07596,1.29928,1.45212,1.3789,756,734812.3,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.506187749816471,0.264167312431753
114,4.7,3,187.47,734812.3,-1.73509,-0.76637,-0.071,0.17895,0.21013,0.56121,0.11586,0.09546,0.10517,0.8256,1.20297,812,734812.3,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.330257749816471,0.264167312431753
115,4.7,3,189.45,734812.3,-1.4395,-0.5965,-0.06468,0.16438,0.29175,0.52684,0.42697,0.09832,0.19248,0.09626,0.45513,781,734812.3,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.417582250183529,0.264167312431753
116,4.7,3,202.38,734812.3,-0.90681,0.09514,0.34924,0.27166,0.33399,1.04529,1.48573,1.50249,1.8254,1.83376,1.22638,532,734812.3,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.353667749816471,0.264167312431753
117,4.7,3,256.14,734812.3,-0.59491,0.36266,0.75289,1.44936,1.36154,0.77134,0.91906,0.87365,1.04365,1.19816,0.8795,826,734812.3,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.00678774981647057,0.264167312431753
118,4.7,3,299.15,734812.3,-0.47784,0.54759,0.73445,0.88626,0.67312,0.88429,0.99221,1.14476,1.71924,1.84092,1.56657,822,734812.3,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.693857749816471,0.264167312431753
119,4.7,3,256.71,734812.3,-1.55631,-0.11336,0.31103,0.32344,0.02743,0.08968,0.4348,0.44058,0.35831,0.60208,0.46104,520,734812.3,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.411672250183529,0.264167312431753
120,4.7,3,281.45,734812.3,-1.6543,-0.65977,-0.52597,-0.22071,-0.50854,0.05532,1.1182,1.72762,1.39294,0.9577,0.99697,427,734812.3,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.124257749816471,0.264167312431753
121,5.7,8,299.41,734813.2,-1.78652,-1.58168,-1.26975,-0.80025,-0.83088,-0.45084,0.23384,0.33895,0.56514,0.4871,0.49785,407,734813.2,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.257634252436769,-0.368329190188545
122,5.7,8,266.08,734813.2,0.7481,0.06366,-0.38373,-0.73662,-0.74232,-0.64088,-1.89117,-1.29748,-0.34195,0.14679,0.33127,1015,734813.2,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.0910542524367685,-0.368329190188545
124,5.7,8,41.17,734813.2,-0.46244,-0.80209,-1.15339,-0.88755,-0.84396,0.37667,-0.07576,0.84622,0.88007,0.76988,0.21626,725,734813.2,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.0239557475632315,-0.368329190188545
125,5.7,8,42.6,734813.2,-1.03247,-0.51884,-0.63446,-0.53275,-0.90256,-0.10905,0.4842,1.02733,1.44312,1.3901,0.71926,591,734813.2,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.479044252436769,-0.368329190188545
127,5.7,8,242.38,734813.2,0.11205,0.74095,-0.19504,-0.13753,-0.28836,-0.31038,-0.59685,-0.17667,-0.66282,-0.14131,0.04441,954,734813.2,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.195805747563231,-0.368329190188545
128,5.7,8,241.22,734813.2,-0.81826,0.26531,0.14232,-0.39606,-0.35817,-0.71358,-1.41403,-1.48928,-0.75662,-0.80406,-0.76121,1034,734813.2,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-1.00142574756323,-0.368329190188545
129,5.7,8,263.82,734813.2,-0.32514,0.42476,0.15478,0.31415,0.46988,-0.64979,-1.3387,-1.03095,-0.32412,0.14238,0.00906,867,734813.2,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.231155747563231,-0.368329190188545
130,5.7,8,275.83,734813.2,-0.04012,-0.46236,-0.52087,-0.39839,-0.30748,-0.77877,-1.47214,-0.89207,-0.13109,0.41319,0.46114,939,734813.2,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.220924252436768,-0.368329190188545
131,5.7,8,92.68,734813.2,-0.7086,-0.8932,-0.36632,-0.68227,-1.21777,-1.64053,-1.83869,-0.78098,-0.45299,-0.56546,-0.77265,969,734813.2,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-1.01286574756323,-0.368329190188545
132,5.7,8,282.27,734813.2,-0.91429,-0.02513,-0.23413,-0.42325,-0.29163,-0.93825,-1.76821,-1.14807,-0.3201,0.05604,-0.0829,211,734813.2,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.323115747563231,-0.368329190188545
133,5.7,8,271.55,734813.2,-1.7044,-1.29254,-1.54734,-1.39488,-1.08122,-1.63045,-1.78307,-1.21137,-0.62734,-0.28664,-0.46483,512,734813.2,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.705045747563231,-0.368329190188545
134,5.7,8,205.06,734813.2,-0.99545,-0.61025,-0.25505,0.23002,0.5078,0.1135,-0.33396,-0.31519,-0.00527,0.30901,0.03715,1859,734813.2,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.203065747563231,-0.368329190188545
135,5.7,8,128.59,734813.2,-0.76111,-0.58523,-0.89349,-0.92426,-0.903,-0.97131,-1.33724,-0.58421,-0.05127,-0.0143,-0.58157,1056,734813.2,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.821785747563232,-0.368329190188545
136,5.7,8,164.15,734813.2,-1.51529,-0.78366,-0.79285,-1.01606,-1.21414,-0.42267,-0.72124,-0.68609,0.45737,1.11781,1.06536,1073,734813.2,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.825144252436769,-0.368329190188545
137,5.7,8,199.8,734813.2,-1.51005,-0.84908,-1.30366,-1.11315,-0.82964,-0.57511,-0.35565,0.16645,-0.00971,0.2852,0.34565,1202,734813.2,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,0.105434252436769,-0.368329190188545
138,5.7,8,265.85,734813.2,-2.13476,-1.2295,-1.85601,-1.91639,-2.02618,-1.64104,-1.63905,-1.27048,-0.83868,-0.72664,-0.27561,756,734813.2,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.515825747563232,-0.368329190188545
139,5.7,8,183.63,734813.2,-2.07873,-1.24635,-0.93808,-0.59841,-0.2282,-0.23025,-0.38813,-0.07997,-0.22609,0.12163,-0.10496,812,734813.2,0.44842542438592,0.608544937751777,0.768664451117633,0.96013580599281,1.01904370112703,1.0815658142578,0.296733055610788,0.418206267516985,0.589406804814804,-0.345175747563231,-0.368329190188545
